File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
c_w.l,10.889514%,5613,96,5420,193,0,96
data_table.o,9.382093%,4836,0,36,4800,0,0
fz_ws.l,8.039577%,4144,0,4144,0,0,0
tasks.o,6.347851%,3272,1280,3212,0,60,1220
queue.o,5.792996%,2986,64,2986,0,0,64
stm32f1xx_hal_tim.o,4.279756%,2206,0,2206,0,0,0
btod.o,3.755941%,1936,0,1936,0,0,0
stm32f1xx_hal_rcc.o,3.558056%,1834,0,1816,18,0,0
stm32f1xx_hal_uart.o,2.937239%,1514,0,1514,0,0,0
stm32f1xx_hal_adc.o,2.770395%,1428,0,1428,0,0,0
rs485.o,2.766515%,1426,60,1110,256,60,0
timers.o,2.595790%,1338,300,1318,0,20,280
_printf_fp_dec.o,2.044815%,1054,0,1054,0,0,0
freertos.o,1.928412%,994,20,762,212,20,0
port.o,1.680085%,866,12,854,0,12,0
servo_control.o,1.652925%,852,348,756,0,96,252
usart.o,1.633524%,842,560,834,0,8,552
stm32f1xx_hal_gpio.o,1.575323%,812,0,812,0,0,0
daddsub_clz.o,1.559802%,804,0,804,0,0,0
stm32f1xx_hal_dma.o,1.555922%,802,0,802,0,0,0
heap_4.o,1.466680%,756,10272,724,0,32,10240
tim.o,1.458919%,752,144,752,0,0,144
ddiv.o,1.334756%,688,0,688,0,0,0
cmsis_os2.o,1.237753%,638,1724,634,0,4,1720
stm32f1xx_hal_rcc_ex.o,1.113590%,574,0,556,18,0,0
faddsub_clz.o,0.873024%,450,0,450,0,0,0
adc.o,0.822582%,424,116,424,0,0,116
fdiv.o,0.752740%,388,0,388,0,0,0
bigflt0.o,0.729460%,376,0,228,148,0,0
adc_m.o,0.682898%,352,68,344,0,8,60
dmul.o,0.659618%,340,0,340,0,0,0
__printf_flags_wp.o,0.638277%,329,0,312,17,0,0
startup_stm32f103xb.o,0.582016%,300,1536,64,236,0,1536
main.o,0.554855%,286,0,286,0,0,0
stm32f1xx_hal_adc_ex.o,0.550975%,284,0,284,0,0,0
fmul.o,0.500534%,258,0,258,0,0,0
stm32f1xx_hal_tim_ex.o,0.488893%,252,0,252,0,0,0
stm32f1xx_hal_cortex.o,0.488893%,252,0,252,0,0,0
stm32f1xx_hal_timebase_tim.o,0.349209%,180,72,180,0,0,72
dnaninf.o,0.302648%,156,0,156,0,0,0
list.o,0.287128%,148,0,148,0,0,0
