File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,61.212086%,10272,756,724,0,32,10240
cmsis_os2.o,10.273523%,1724,638,634,0,4,1720
startup_stm32f103xb.o,9.153209%,1536,300,64,236,0,1536
tasks.o,7.627674%,1280,3272,3212,0,60,1220
usart.o,3.337107%,560,842,834,0,8,552
servo_control.o,2.073774%,348,852,756,0,96,252
timers.o,1.787736%,300,1338,1318,0,20,280
tim.o,0.858113%,144,752,752,0,0,144
adc.o,0.691258%,116,424,424,0,0,116
c_w.l,0.572076%,96,5613,5420,193,0,96
libspace.o,0.572076%,96,8,8,0,0,96
stm32f1xx_hal_timebase_tim.o,0.429057%,72,180,180,0,0,72
adc_m.o,0.405220%,68,352,344,0,8,60
queue.o,0.381384%,64,2986,2986,0,0,64
rs485.o,0.357547%,60,1426,1110,256,60,0
freertos.o,0.119182%,20,994,762,212,20,0
port.o,0.071509%,12,866,854,0,12,0
stm32f1xx_hal.o,0.053632%,9,125,116,0,9,0
system_stm32f1xx.o,0.023836%,4,30,2,24,4,0
